country,total_litres_of_pure_alcohol
Niger,0.1
Indonesia,0.1
Comoros,0.1
Saudi Arabia,0.1
Myanmar,0.1
Timor-Leste,0.1
Yemen,0.1
Nepal,0.2
Iraq,0.2
Egypt,0.2
Guinea,0.2
Senegal,0.3
Malaysia,0.3
Tajikistan,0.3
Chad,0.4
Bhutan,0.4
Jordan,0.5
Morocco,0.5
Eritrea,0.5
Brunei,0.6
Mali,0.6
Ethiopia,0.7
Oman,0.7
Algeria,0.7
Madagascar,0.8
Qatar,0.9
Vanuatu,0.9
Kiribati,1.0
Syria,1.0
Tuvalu,1.0
Nauru,1.0
Benin,1.1
Tonga,1.1
Djibouti,1.1
Solomon Islands,1.2
Azerbaijan,1.3
Tunisia,1.3
Mozambique,1.3
Togo,1.3
Turkey,1.4
Singapore,1.5
Malawi,1.5
Papua New Guinea,1.5
Sudan,1.7
Congo,1.7
Central African Republic,1.8
Kenya,1.8
Ghana,1.8
Lebanon,1.9
Bahrain,2.0
Vietnam,2.0
Fiji,2.0
El Salvador,2.2
Sri Lanka,2.2
Cambodia,2.2
India,2.2
Guatemala,2.2
Turkmenistan,2.2
Micronesia,2.3
DR Congo,2.3
Gambia,2.4
Kyrgyzstan,2.4
Uzbekistan,2.4
Israel,2.5
Guinea-Bissau,2.5
Zambia,2.5
Mauritius,2.6
Samoa,2.6
United Arab Emirates,2.8
Lesotho,2.8
Honduras,3.0
Liberia,3.1
Jamaica,3.4
Nicaragua,3.5
Armenia,3.8
Bolivia,3.8
Macedonia,3.9
Cabo Verde,4.0
Cote d'Ivoire,4.0
Seychelles,4.1
Colombia,4.2
Sao Tome & Principe,4.2
Ecuador,4.2
Cuba,4.2
Burkina Faso,4.3
Costa Rica,4.4
Bosnia-Herzegovina,4.6
Philippines,4.6
Swaziland,4.7
Zimbabwe,4.7
Albania,4.9
Montenegro,4.9
Antigua & Barbuda,4.9
Mongolia,4.9
China,5.0
Georgia,5.4
Botswana,5.4
Mexico,5.5
Suriname,5.6
Tanzania,5.7
Equatorial Guinea,5.8
Cameroon,5.8
Haiti,5.9
Angola,5.9
Cook Islands,5.9
Peru,6.1
Dominican Republic,6.2
Laos,6.2
St. Vincent & the Grenadines,6.3
Moldova,6.3
Barbados,6.3
Burundi,6.3
Bahamas,6.3
Trinidad & Tobago,6.4
Thailand,6.4
Italy,6.5
Iceland,6.6
Dominica,6.6
Uruguay,6.6
Malta,6.6
Sierra Leone,6.7
Norway,6.7
Rwanda,6.8
Namibia,6.8
Kazakhstan,6.8
Belize,6.8
Palau,6.9
Japan,7.0
Niue,7.0
Guyana,7.1
Panama,7.2
Brazil,7.2
Sweden,7.2
Paraguay,7.3
Chile,7.6
St. Kitts & Nevis,7.7
Venezuela,7.7
Canada,8.2
South Africa,8.2
Cyprus,8.2
Argentina,8.3
Uganda,8.3
Greece,8.3
USA,8.7
Ukraine,8.9
Gabon,8.9
Nigeria,9.1
New Zealand,9.3
Netherlands,9.4
Estonia,9.5
Serbia,9.6
Austria,9.7
South Korea,9.8
Spain,10.0
Finland,10.0
St. Lucia,10.1
Switzerland,10.2
Croatia,10.2
Bulgaria,10.3
Romania,10.4
Australia,10.4
United Kingdom,10.4
Denmark,10.4
Belgium,10.5
Latvia,10.5
Slovenia,10.6
Poland,10.9
Portugal,11.0
Germany,11.3
Hungary,11.3
Ireland,11.4
Luxembourg,11.4
Slovakia,11.4
Russian Federation,11.5
Czech Republic,11.8
France,11.8
Grenada,11.9
Andorra,12.4
Lithuania,12.9
Belarus,14.4
